modelo,accuracy_cv,precision_cv,recall_cv,f1_cv,desv_f1
"Naive Bayes + conteos (1,2)",0.7957307060755336,0.8154244828836342,0.6790047144337571,0.7406421418010054,0.011579999908731018
"Regresion logistica + TF-IDF (1,2)",0.796551724137931,0.8293148456919119,0.6641060820574197,0.7372140466232807,0.01088829749353791
"Regresion logistica + TF-IDF (1,3)",0.7958949096880132,0.8274054267287518,0.6644877614467327,0.736682062949533,0.012057143865458897
"SVM lineal + TF-IDF (1,2)",0.7763546798029557,0.7557897668251173,0.7095740954271452,0.7316092468850187,0.015621508183933737
