codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
16-14-0113-46,16-14-0114-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,75.9,False,True,True
16-14-0115-46,16-14-0116-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,False,True,True
16-13-0225-46,16-13-0226-46,LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE,100.0,100.0,False,True,True
16-01-0481-46,16-01-0664-46,LICEO AMERICANO DEL NORTE,LICEO AMERICANO DEL NORTE,100.0,82.6,True,True,True
16-01-0559-46,16-01-8849-46,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,100.0,100.0,False,True,True
16-01-0587-46,16-01-0588-46,LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE,100.0,100.0,True,True,True
16-01-0666-46,16-01-9851-46,"COLEGIO DE INFORMÁTICA ""CENINFAV""",COLEGIO DE INFORMATICA CENINFAV,96.9,71.8,True,True,True
16-01-0926-46,16-01-0927-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,87.5,True,True,True
16-01-1046-46,16-01-1047-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,71.4,False,True,True
16-16-0135-46,16-16-0139-46,LICEO CRISTIANO EBENEZER,LICEO CRISTIANO EBENEZER,100.0,100.0,True,True,True
16-17-0123-46,16-17-0151-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,True,True,True
16-03-0076-46,16-03-0082-46,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,100.0,98.8,False,True,True
16-03-0077-46,16-03-0083-46,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,100.0,98.8,False,True,True
16-03-0088-46,16-03-1520-46,LICEO GALILEO GALILEI,LICEO GALILEO GALILEI,100.0,100.0,True,True,True
16-03-0271-46,16-03-0272-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,True,True,True
16-03-0271-46,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,True,True,True
16-03-0272-46,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,True,True,True
16-03-9884-46,16-03-9885-46,LICEO SAN CRISTOBAL,LICEO SAN CRISTOBAL,100.0,100.0,True,True,True
16-10-0067-46,16-10-1400-46,INSTITUTO TECNICO EN RECURSOS NATURALES,INSTITUTO TECNICO EN RECURSOS NATURALES,100.0,100.0,True,True,True
16-06-0106-46,16-06-0145-46,"CENTRO DE FORMACION ACADEMICA, TECNOLOGICA Y OCUPACIONAL ""JACK & MARIE EITING""","CENTRO DE FORMACION ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL JACK & MARIE EITING",92.2,100.0,False,True,True
16-09-0007-46,16-09-0870-46,CENTRO EDUCATIVO NUEVA VIDA,CENTRO EDUCATIVO NUEVA VIDA,100.0,97.7,True,True,True
16-09-0748-46,16-09-0760-46,LICEO INTERCULTURAL VERAPACENSE,LICEO INTERCULTURAL VERAPACENSE,100.0,100.0,False,True,True
16-09-0820-46,16-09-0938-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,71.0,False,True,True
16-09-0827-46,16-09-0839-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,72.0,False,True,True
16-09-0837-46,16-09-0882-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,78.3,False,True,True
16-09-0837-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,75.0,False,True,True
16-09-0837-46,16-09-0885-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,72.7,False,True,True
16-09-0838-46,16-09-0839-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,74.1,False,True,True
16-09-0838-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,74.1,False,True,True
16-09-0838-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,76.9,False,True,True
16-09-0839-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,72.0,False,True,True
16-09-0844-46,16-09-0863-46,COLEGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,100.0,97.8,True,True,True
16-09-0880-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,72.0,False,True,True
16-09-0880-46,16-09-0885-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,78.3,False,True,True
16-09-0882-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,72.0,False,True,True
16-09-0882-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,75.0,False,True,True
16-09-0883-46,16-09-0885-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,83.3,False,True,True
16-09-0883-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,72.0,False,True,True
16-09-0945-46,16-09-0946-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,False,True,True
16-08-0204-46,16-08-0206-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,81.1,False,True,True
16-04-0047-46,16-04-1233-46,COLEGIO PARTICULAR MIXTO BLAISE PASCAL,COLEGIO PARTICULAR MIXTO BLAISE PASCAL,100.0,71.4,False,True,True
16-04-0072-46,16-04-0078-46,COLEGIO PRIVADO MIXTO LA ENSEÑANZA,COLEGIO PRIVADO MIXTO LA ENSEÑANZA,100.0,67.7,True,True,True
15-04-0269-46,15-04-0272-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,87.3,False,True,True
15-04-0275-46,15-04-0277-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,74.6,False,True,True
15-04-0275-46,15-04-0278-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,72.7,False,True,True
15-04-0277-46,15-04-0278-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,73.0,False,True,True
15-05-0041-46,15-05-0042-46,LICEO AMANECER EN VICTORIA,LICEO AMANECER EN VICTORIA,100.0,100.0,False,True,True
15-05-0045-46,15-05-2172-46,CENTRO DE ESTUDIOS MAGISTERIALES CEM,CENTRO DE ESTUDIOS MAGISTERIALES 'CEM',97.3,100.0,False,True,True
15-08-0006-46,15-08-2158-46,"""INSTITUTO MIXTO PARTICULAR VERAPAZ""",INSTITUTO MIXTO PARTICULAR VERAPAZ,97.1,100.0,True,True,True
15-08-0171-46,15-08-0173-46,COLEGIO PARTICULAR MIXTO PURULHA PROFA. MARIA ZOE LOPEZ,COLEGIO PARTICULAR MIXTO PURULHÁ PROFESORA MARÍA ZOE LÓPEZ,95.6,100.0,True,True,True
15-08-0207-46,15-08-0251-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,73.2,False,True,True
15-03-0060-46,15-03-0062-46,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,100.0,100.0,True,True,True
15-03-0088-46,15-03-2053-46,COLEGIO PARTICULAR MIXTO VIDA NUEVA,COLEGIO PARTICULAR MIXTO VIDA NUEVA,100.0,100.0,False,True,True
15-03-0778-46,15-03-1888-46,CENTRO CULTURAL DE AMERICA,CENTRO CULTURAL DE AMERICA,100.0,100.0,True,True,True
15-01-0102-46,15-01-2164-46,COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL,COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL,100.0,60.6,True,True,True
15-01-0109-46,15-01-0110-46,CENTRO ESTUDIANTIL MIGUEL ÁNGEL ASTURIAS,CENTRO ESTUDIALTIL MIGUEL ÁNGEL ASTURIAS,97.5,92.8,True,True,True
15-01-0112-46,15-01-0114-46,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,100.0,98.7,True,True,True
15-01-0113-46,15-01-0115-46,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,100.0,97.4,True,True,True
15-01-0116-46,15-01-0190-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,84.6,False,True,True
15-01-0125-46,15-01-0135-46,CENTRO EDUCATIVO VERAPAZ DEL SUR,CENTRO EDUCATIVO VERAPAZ DEL SUR,100.0,100.0,False,True,True
15-01-0153-46,15-01-2023-46,COLEGIO PARTICULAR MIXTO TEZULUTLÁN,COLEGIO PARTICULAR MIXTO TEZULUTLAN,100.0,100.0,True,True,True
15-01-0157-46,15-01-0160-46,LICEO SAN RAFAEL,LICEO SAN RAFAEL,100.0,100.0,True,True,True
15-07-0033-46,15-07-0034-46,COLEGIO PARTICULAR MIXTO SAN JERONIMO,COLEGIO PARTICULAR MIXTO SAN JERONIMO,100.0,100.0,False,True,True
15-02-0107-46,15-02-0108-46,COLEGIO PARTICULAR BAUTISTA MIXTO,COLEGIO PARTICULAR BAUTISTA MIXTO,100.0,100.0,True,True,True
15-02-0119-46,15-02-0120-46,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,100.0,85.0,True,True,True
15-02-0121-46,15-02-0122-46,CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO,CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO,100.0,100.0,False,True,True
04-01-0128-46,04-01-0171-46,LICEO NUEVA GENERACION,LICEO NUEVA GENERACIÓN,100.0,100.0,False,True,True
04-01-0129-46,04-01-3173-46,INSTITUTO EVANGÉLICO AMÉRICA LATINA,INSTITUTO EVANGÉLICO AMÉRICA LATINA,100.0,100.0,False,True,True
04-01-0141-46,04-01-0197-46,COLEGIO BLESS,COLEGIO BLESS,100.0,100.0,False,True,True
04-01-0180-46,04-01-0238-46,"INSTITUTO MIXTO TECNOLÓGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""","INSTITUTO MIXTO TECNOLÓGICO CENTRAL ""CIUDAD DE LOS ESCUDOS""",100.0,100.0,True,True,True
04-01-0199-46,04-01-2294-46,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",100.0,100.0,True,True,True
04-01-0230-46,04-01-3067-46,TECNOLÓGICO PREUNIVERSITARIO,TECNOLÓGICO PREUNIVERSITARIO,100.0,95.5,True,True,True
04-01-0232-46,04-01-0245-46,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,100.0,100.0,True,True,True
04-01-0253-46,04-01-0304-46,"ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)","ESCUELA NORMAL BILINGÜE INTERCULTURAL ""RUK'U'X WAQXAQI' Q'ANIL"" (ESENCIA DE LAS OCHO SEMILLAS)",100.0,100.0,True,True,True
04-01-0264-46,04-01-0266-46,COLEGIO GABRIEL G&R,COLEGIO GABRIEL G&R,100.0,100.0,True,True,True
04-01-0285-46,04-01-0287-46,COLEGIO DEL FUTURO,COLEGIO DEL FUTURO,100.0,100.0,True,True,True
04-01-0286-46,04-01-0288-46,COLEGIO DEL FUTURO,COLEGIO DEL FUTURO,100.0,100.0,True,True,True
04-01-0300-46,04-01-0301-46,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,100.0,100.0,True,True,True
04-01-0711-46,04-01-2103-46,CORPORACION DE INFORMATICA EDUCATIVA NACIONAL CIEN,CORPORACION DE INFORMATICA EDUCATIVA NACIONAL 'CIEN',98.0,97.9,False,True,True
04-01-2699-46,04-01-2997-46,"LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""","LICEO CIENTIFICO TECNOLOGICO ""EN-GADI""",100.0,100.0,True,True,True
04-01-2747-46,04-01-2934-46,"COLEGIO MIXTO ""SANTA ANA""","COLEGIO MIXTO ""SANTA ANA""",100.0,100.0,True,True,True
04-01-2767-46,04-01-2811-46,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,100.0,100.0,False,True,True
04-01-2827-46,04-01-3018-46,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH. """,97.9,100.0,True,True,True
04-01-2900-46,04-01-2901-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA,100.0,100.0,True,True,True
04-01-2941-46,04-01-2942-46,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,100.0,100.0,True,True,True
04-01-3066-46,04-01-3245-46,TECNOLÓGICO PREUNIVERSITARIO,TECNOLOGICO PREUNIVERSITARIO,100.0,95.5,False,True,True
04-01-3253-46,04-01-3254-46,INSTITUTO TECNICO INDUSTRIAL,INSTITUTO TECNICO INDUSTRIAL,100.0,100.0,True,True,True
04-07-2540-46,04-07-3183-46,"INSTITUTO PREVOCACIONAL MIXTO ""SAN BERNARDINO""",INSTITUTO PREVOCACIONAL MIXTO 'SAN BERNARDINO',95.7,100.0,True,True,True
04-13-0016-46,04-13-3232-46,LICEO CAMPO ALEGRE,LICEO CAMPO ALEGRE,100.0,100.0,False,True,True
04-13-0016-46,04-13-3233-46,LICEO CAMPO ALEGRE,LICEO CAMPO ALEGRE,100.0,100.0,False,True,True
04-13-0017-46,04-13-0022-46,COLEGIO PRIVADO MIXTO SAN ANDRES,COLEGIO PRIVADO MIXTO SAN ANDRES,100.0,100.0,False,True,True
04-13-3232-46,04-13-3233-46,LICEO CAMPO ALEGRE,LICEO CAMPO ALEGRE,100.0,100.0,False,True,True
04-02-0009-46,04-02-0010-46,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""POAQUIL""","INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""POAQUIL""",100.0,97.8,False,True,True
04-04-0029-46,04-04-3227-46,CENTRO EDUCATIVO FORMACION Y CIENCIA,CENTRO EDUCATIVO FORMACION Y CIENCIA,100.0,98.8,False,True,True
04-04-0046-46,04-04-0053-46,"CENTRO EDUCATIVO BILINGÜE INTERCULTURAL ""RUK'U'X TIJONÏK""","CENTRO EDUCATIVO BILINGÜE INTERCULTURAL ""RUK'U'X TIJONÏK""",100.0,97.7,True,True,True
04-03-0204-46,04-03-3046-46,"LICEO CRISTIANO ""JERUSALEN""","LICEO CRISTIANO ""JERUSALEN""",100.0,22.7,True,True,True
04-03-0209-46,04-03-0215-46,CENTRO EDUCATIVO SAN JUAN PABLO -CEJUPA-,CENTRO EDUCATIVO SAN JUAN PABLO -CEJUPA-,100.0,82.8,True,True,True
04-03-0218-46,04-03-0229-46,COLEGIO PRIVADO EL VALLE,COLEGIO PRIVADO EL VALLE,100.0,100.0,True,True,True
04-03-0260-46,04-03-2797-46,"ESCUELA NORMAL BILINGÜE INTERCULTURAL ""NIM NA'OJ""","ESCUELA NORMAL BILINGÜE INTERCULTURAL ""NIM NA'OJ""",100.0,96.5,True,True,True
04-12-0043-46,04-12-0051-46,INSTITUTO PRIVADO MIXTO ORIZABA,INSTITUTO PRIVADO MIXTO ORIZABA,100.0,100.0,True,True,True
04-05-0017-46,04-05-0021-46,"LICEO TECNOLÓGICO BILINGÜE ""EL ROBLE""","LICEO TECNOLÓGICO BILINGÜE ""EL ROBLE""",100.0,100.0,False,True,True
04-06-0067-46,04-06-0071-46,"CENTRO EDUCATIVO ""RUNAWAL B'ALAM YA'""","CENTRO EDUCATIVO ""RUNAWAL B'ALAM YA'""",100.0,100.0,True,True,True
04-06-0083-46,04-06-2903-46,CENTRO DE FORMACIÓN TURÍSTICA E INFORMÁTICA LICEO TECPÁN,CENTRO DE FORMACIÓN TURÍSTICA E INFORMÁTICA LICEO TECPÁN,100.0,100.0,True,True,True
04-06-0636-46,04-06-2678-46,INSTITUTO PARTICULAR MIXTO TECPANECO DE EDUCACION MEDIA,INSTITUTO PARTICULAR MIXTO TECPANECO DE EDUCACION MEDIA,100.0,100.0,False,True,True
04-06-3151-46,04-06-3152-46,COLEGIO EVANGELICO ISRAEL,COLEGIO EVANGELICO ISRAEL,100.0,100.0,False,True,True
04-15-0042-46,04-15-0043-46,LICEO CRISTIANO MONTE SIÓN,LICEO CRISTIANO MONTE SIÓN,100.0,100.0,False,True,True
04-15-0064-46,04-15-0065-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DE DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,97.1,52.9,True,True,True
20-01-0119-46,20-01-0182-46,LICEO TECNOLOGICO BILINGUE CHIQUIMULTECO,LICEO TECNOLOGICO BILINGUE CHIQUIMULTECO,100.0,97.6,False,True,True
20-01-0129-46,20-01-0216-46,LICEO ISRAELÍ,LICEO ISRAELÍ,100.0,83.7,False,True,True
20-01-0164-46,20-01-2378-46,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,INSTITUTO TECNOLOGICO PRIVADO DE ORIENTE,100.0,74.1,False,True,True
20-01-0174-46,20-01-1613-46,COLEGIO SUPERIOR DE INFORMATICA HIGA,COLEGIO SUPERIOR DE INFORMATICA HIGA,100.0,100.0,False,True,True
20-01-0176-46,20-01-2341-46,COLEGIO PRIVADO MIXTO BENDICION,COLEGIO PRIVADO MIXTO BENDICION,100.0,100.0,True,True,True
20-01-0178-46,20-01-0179-46,COLEGIO EVANGELICO MIXTO ADONAI,COLEGIO EVANGELICO MIXTO ADONAI,100.0,100.0,True,True,True
20-01-0183-46,20-01-0184-46,COLEGIO PRIVADO MIXTO SABIDURIA,COLEGIO PRIVADO MIXTO SABIDURIA,100.0,97.7,False,True,True
20-01-0185-46,20-01-0223-46,"COLEGIO CIENTIFICO EN INFORMATICA, ELECTRONICA Y TELECOMUNICACIONES ADY","COLEGIO CIENTÍFICO EN INFORMÁTICA, ELECTRÓNICA Y TELECOMUNICACIONES ADY",100.0,97.7,False,True,True
20-01-0194-46,20-01-0197-46,COLEGIO SUPERIOR DE INFORMATICA HIGA,COLEGIO SUPERIOR DE INFORMATICA HIGA,100.0,100.0,False,True,True
20-01-2349-46,20-01-2351-46,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,LICEO TECNOCIENCIA BILINGUE DE CHIQUIMULA,100.0,100.0,False,True,True
20-07-0088-46,20-07-0116-46,LICEO DE FORMACION INTEGRAL,LICEO DE FORMACIÓN INTEGRAL,100.0,98.9,True,True,True
20-07-0111-46,20-07-0114-46,"COLEGIO DE EDUCACIÓN PARA ADULTOS ""SEMILLA DE VIDA""","COLEGIO DE EDUCACION PARA ADULTOS ""SEMILLA DE VIDA""",100.0,100.0,True,True,True
20-11-0009-46,20-11-2086-46,COLEGIO PRIVADO DE BACHILLERATO POR MADUREZ EMMANUEL,COLEGIO PRIVADO DE BACHILLERATO POR MADUREZ EMMANUEL,100.0,100.0,False,True,True
20-11-0050-46,20-11-0051-46,LICEO IPALTECO EN COMPUTACIÓN,LICEO IPALTECO EN COMPUTACIÓN,100.0,100.0,True,True,True
20-04-0001-46,20-04-0104-46,COLEGIO PRIVADO MIXTO POR MADUREZ VISION 2008,COLEGIO PRIVADO MIXTO POR MADUREZ VISION 2008,100.0,100.0,False,True,True
20-04-0069-46,20-04-0134-46,COLEGIO CENTRO CULTURAL CAMPO REAL,COLEGIO CENTRO CULTURAL CAMPO REAL,100.0,100.0,False,True,True
20-04-0069-46,20-04-0135-46,COLEGIO CENTRO CULTURAL CAMPO REAL,COLEGIO CENTRO CULTURAL CAMPO REAL,100.0,100.0,False,True,True
20-04-0134-46,20-04-0135-46,COLEGIO CENTRO CULTURAL CAMPO REAL,COLEGIO CENTRO CULTURAL CAMPO REAL,100.0,100.0,True,True,True
20-09-0037-46,20-09-0038-46,COMPLEJO EDUCATIVO INTERCULTURAL,COMPLEJO EDUCATIVO INTERCULTURAL,100.0,98.3,False,True,True
20-09-0040-46,20-09-1525-46,LICEO TECNICO QUEZALTEPEQUE,LICEO TECNICO QUEZALTEPEQUE,100.0,95.8,True,True,True
20-09-0041-46,20-09-0063-46,LICEO TECNICO QUEZALTEPEQUE,LICEO TÉCNICO QUEZALTEPEQUE,100.0,100.0,True,True,True
20-09-0060-46,20-09-2362-46,INSTITUTO PRIVADO MIXTO NOCTURNO DE CIENCIAS COMERCIALES,INSTITUTO PRIVADO MIXTO NOCTURNO DE CIENCIAS COMERCIALES,100.0,79.5,False,True,True
00-01-0179-46,00-01-0594-46,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,ESCUELA NORMAL PARA MAESTROS DE EDUCACIÓN MUSICAL JESÚS MARÍA ALVARADO,100.0,90.9,False,True,True
00-01-0187-46,00-01-0715-46,ESCUELA TECNICA SUPERIOR ALINARI,ESCUELA TECNICA SUPERIOR ALINARI,100.0,100.0,False,True,True
00-01-0197-46,00-01-0218-46,LICEO TECNOLÓGICO GUATEMALA DE LA ASUNCION,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,100.0,100.0,True,True,True
00-01-0208-46,00-01-0720-46,INSTITUTO NORMAL MIXTO NOCTURNO,INSTITUTO NORMAL MIXTO NOCTURNO,100.0,78.6,False,True,True
00-01-0217-46,00-01-0230-46,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA 'BILINGUE GUATEMALTECO',INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA BILINGUE GUATEMALTECO,98.8,100.0,False,True,True
00-01-0219-46,00-01-0506-46,CENTRO DE ESTUDIOS WINBRIDGE,CENTRO DE ESTUDIOS WINBRIDGE,100.0,96.3,True,True,True
00-01-0225-46,00-01-0706-46,COLEGIO COMERCIAL GUATEMALTECO,COLEGIO COMERCIAL GUATEMALTECO,100.0,96.8,True,True,True
00-01-0238-46,00-01-0608-46,INSTITUTO TECNOLÓGICO DE COMPUTACION I.T.C.,INSTITUTO TECNOLÓGICO DE COMPUTACIÓN I.T.C.,100.0,96.6,True,True,True
00-01-0238-46,00-01-0882-46,INSTITUTO TECNOLÓGICO DE COMPUTACION I.T.C.,INSTITUTO TECNOLÓGICO DE COMPUTACIÓN I.T.C.,100.0,96.6,True,True,True
00-01-0247-46,00-01-4555-46,INSTITUTO PARTICULAR MIXTO JOSE MARTI,'INSTITUTO PARTICULARA MIXTO JOSE MARTI',96.1,80.0,False,True,True
00-01-0248-46,00-01-0541-46,COLEGIO EL CAMINO,COLEGIO EL CAMINO,100.0,96.8,True,True,True
00-01-0254-46,00-01-8599-46,"COLEGIO MIXTO ""INDO LATINO""","COLEGIO MIXTO ""INDO LATINO""",100.0,80.0,True,True,True
00-01-0266-46,00-02-7035-46,LICEO DE COMPUTACION C.S.S.,LICEO DE COMPUTACION C.S.S.,100.0,100.0,True,True,True
00-01-0280-46,00-01-9057-46,COLEGIO TECNICO COMERCIAL NAHUALA,COLEGIO TECNICO COMERCIAL NAHUALA,100.0,100.0,True,True,True
00-01-0292-46,00-01-0293-46,COLEGIO EN COMPUTACION SAN JOSE NO. 1,COLEGIO EN COMPUTACION SAN JOSE NO. 1,100.0,96.8,True,True,True
00-01-0298-46,00-01-0299-46,"INSTITUTO MIXTO DE COMPUTACION ""LEONARDO DE PISA""","INSTITUTO MIXTO DE COMPUTACION ""LEONARDO DE PISA""",100.0,100.0,False,True,True
00-01-0318-46,00-01-0595-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 2,100.0,100.0,True,True,True
00-01-0322-46,00-01-0323-46,LICEO HISPANOAMERICANO NO. 2,LICEO HISPANOAMERICANO NO. 2,100.0,100.0,True,True,True
00-01-0336-46,00-01-8709-46,LICEO JUVENTUD XXI,LICEO JUVENTUD XXI,100.0,77.8,False,True,True
00-01-0346-46,00-01-9326-46,CENTRO EDUCATIVO LICEO EVANGÉLICO CAMINO Y VERDAD,CENTRO EDUCATIVO LICEO EVANGELICO CAMINO Y VERDAD,100.0,100.0,True,True,True
