codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
12-06-0134-46,12-06-0143-46,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,100.0,78.6,False,True,True
12-13-0055-46,12-13-0068-46,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,100.0,98.9,False,True,True
12-13-0056-46,12-13-0071-46,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,100.0,100.0,False,True,True
12-13-0056-46,12-13-0090-46,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,100.0,100.0,False,True,True
12-13-0071-46,12-13-0090-46,COLEGIO PARTICULAR MIXTO LA FAMILIA,COLEGIO PARTICULAR MIXTO LA FAMILIA,100.0,100.0,True,True,True
12-13-0075-46,12-13-0076-46,"LICEO PRIVADO MIXTO ""TUMBADORENSE""","LICEO PRIVADO MIXTO ""TUMBADORENSE""",100.0,100.0,True,True,True
12-13-0095-46,12-13-0100-46,"COLEGIO PRIVADO MIXTO ""IMPERIAL""","COLEGIO PRIVADO MIXTO ""IMPERIAL2",96.9,100.0,True,True,True
12-13-0095-46,12-13-0109-46,"COLEGIO PRIVADO MIXTO ""IMPERIAL""","COLEGIO PRIVADO MIXTO ""IMPERIAL""",100.0,100.0,True,True,True
12-13-0100-46,12-13-0109-46,"COLEGIO PRIVADO MIXTO ""IMPERIAL2","COLEGIO PRIVADO MIXTO ""IMPERIAL""",96.9,100.0,True,True,True
12-30-0069-46,12-30-0080-46,"""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""","""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""",100.0,100.0,True,True,True
12-30-0072-46,12-30-0073-46,"""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""","""COLEGIO EDUCATIVO MIXTO LUNA AZUL -CEMLA-""",100.0,100.0,False,True,True
12-15-0054-46,12-15-0055-46,LICEO ESPAÑOL,LICEO ESPAÑOL,100.0,100.0,True,True,True
12-15-0061-46,12-15-5094-46,CENTRO PRIVADO DE ESTUDIOS SUPERACION,CENTRO PRIVADO DE ESTUDIOS SUPERACION,100.0,60.9,True,True,True
12-15-0073-46,12-15-0121-46,LICEO ESPAÑOL,LICEO ESPAÑOL,100.0,31.6,True,True,True
12-15-0089-46,12-15-0120-46,LICEO EXPERIMENTAL,LICEO EXPERIMENTAL,100.0,87.5,True,True,True
12-15-0093-46,12-15-3447-46,CENTRO DE ESTUDIOS POR MADUREZ CEEM,CENTRO DE ESTUDIOS POR MADUREZ CEEM,100.0,100.0,False,True,True
12-15-0096-46,12-15-0097-46,"LICEO PRE-UNIVERSITARIO ""LA FE""","LICEO PRE-UNIVERSITARIO ""LA FE""",100.0,97.9,True,True,True
12-15-0096-46,12-15-0144-46,"LICEO PRE-UNIVERSITARIO ""LA FE""","LICEO PRE-UNIVERSITARIO ""LA FE""",100.0,97.9,True,True,True
12-15-0097-46,12-15-0144-46,"LICEO PRE-UNIVERSITARIO ""LA FE""","LICEO PRE-UNIVERSITARIO ""LA FE""",100.0,100.0,True,True,True
12-15-0103-46,12-15-0104-46,INSTITUTO PRIVADO TECNOLOGICO BENSON,INSTITUTO PRIVADO TECNOLÓGICO BENSON,100.0,80.4,False,True,True
12-15-0114-46,12-15-0115-46,COLEGIO EVANGÉLICO MIXTO CENTROAMERICANO,COLEGIO EVANGÉLICO MIXTO CENTROAMERICANO,100.0,100.0,True,True,True
12-15-0127-46,12-15-0128-46,"INSTITUTO PRIVADO MIXTO ""MALACATECO""","INSTITUTO PRIVADO MIXTO ""MALACATECO""",100.0,100.0,True,True,True
12-15-0134-46,12-15-0135-46,"INSTITUTO PARTICULAR TECNICO VOCACIONAL ""PRACTICO MODERNO""","INSTITUTO PARTICULAR TECNICO VOCACIONAL ""PRACTICO MODERNO""",100.0,100.0,True,True,True
12-15-0142-46,12-15-0143-46,COLEGIO AMISADAI,COLEGIO AMISADAI,100.0,100.0,True,True,True
12-15-0146-46,12-15-0735-46,"INSTITUTO PRIVADO MIXTO ""MALACATECO""","INSTITUTO PRIVADO MIXTO ""MALACATECO""",100.0,73.8,True,True,True
12-15-0155-46,12-15-0156-46,"COLEGIO SUPERIOR ""HARVARD""","COLEGIO SUPERIOR ""HARVARD""",100.0,100.0,True,True,True
12-15-0163-46,12-15-0164-46,INSTITUTO TECNOLÓGICO EMPRESARIAL,INSTITUTO TECNOLÓGICO EMPRESARIAL,100.0,100.0,True,True,True
12-15-0166-46,12-15-0167-46,"INSTITUTO PRIVADO MIXTO ""SAN ANDRÉS DE LA VILLA""","INSTITUTO PRIVADO MIXTO ""SAN ANDRÉS DE LA VILLA""",100.0,100.0,False,True,True
12-15-0172-46,12-15-0175-46,COLEGIO PRIVADO MIXTO EMANUEL,COLEGIO PRIVADO MIXTO EMANUEL,100.0,100.0,True,True,True
12-15-0209-46,12-15-0210-46,LICEO PREPARATORIA,LICEO PREPARATORIA,100.0,100.0,True,True,True
12-12-0055-46,12-12-0072-46,"LICEO ""SAN JOSÉ""","LICEO ""SAN JOSE""",100.0,100.0,True,True,True
